Ranking,Player Name,Team,Designation,Points
252,Matheesha Pathirana,Kolkata Knight Riders,Bowler,0.0
253,Matthew Breetzke,Lucknow Super Giants,Batter,0.0
254,Gerald Coetzee,Unknown,Unknown,0.0
255,Robin Minz,Mumbai Indians,Wicketkeeper Batter,0.0
256,Mitchell Owen,Punjab Kings,Allrounder,0.0
257,Mitchell Starc,Delhi Capitals,Bowler,0.0
258,Mohd Izhar,Mumbai Indians,Bowler,0.0
259,Anrich Nortje,Lucknow Super Giants,Bowler,-1.2
260,Lhuan-dre Pretorius,Rajasthan Royals,Wicketkeeper Batter,-5.0
261,Mayank Yadav,Lucknow Super Giants,Bowler,-5.8
262,Auqib Nabi,Delhi Capitals,Bowler,-9.200000000000001
263,Harshal Patel,Sunrisers Hyderabad,Bowling Allrounder,-15.2
